iter	Passed	Remaining
0	1	172
1	2	134
2	3	120
3	4	107
4	5	103
5	6	100
6	7	96
7	8	95
8	9	93
9	10	91
10	11	90
11	12	89
12	13	87
13	14	86
14	15	85
15	16	84
16	17	83
17	17	81
18	18	80
19	19	79
20	20	77
21	21	76
22	22	75
23	23	74
24	24	73
25	25	72
26	26	70
27	27	69
28	27	68
29	28	67
30	29	66
31	30	65
32	31	63
33	32	62
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	38	56
41	39	54
42	40	53
43	41	52
44	41	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	42
54	50	41
55	51	40
56	52	39
57	52	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	31
65	60	30
66	60	30
67	61	29
68	62	28
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	68	22
75	69	21
76	69	20
77	70	19
78	71	19
79	72	18
80	73	17
81	74	16
82	75	15
83	75	14
84	76	13
85	77	12
86	78	11
87	79	10
88	79	9
89	80	8
90	82	8
91	83	7
92	84	6
93	85	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	90	0
