iter	Passed	Remaining
0	2	2878
1	4	2024
2	5	1716
3	6	1564
4	7	1471
5	8	1425
6	9	1369
7	10	1312
8	11	1277
9	12	1228
10	13	1202
11	14	1179
12	15	1165
13	16	1150
14	17	1137
15	18	1124
16	19	1112
17	20	1102
18	21	1092
19	22	1082
20	22	1071
21	23	1065
22	24	1055
23	25	1048
24	26	1040
25	27	1033
26	28	1029
27	29	1024
28	30	1019
29	31	1015
30	32	1010
31	33	1005
32	34	1000
33	35	994
34	35	989
35	36	985
36	37	981
37	38	977
38	39	974
39	40	970
40	41	966
41	42	963
42	43	958
43	43	954
44	44	949
45	45	950
46	46	946
47	47	944
48	48	942
49	49	942
50	50	940
51	51	938
52	52	935
53	53	934
54	54	932
55	55	929
56	56	928
57	57	925
58	57	923
59	58	923
60	59	921
61	60	918
62	61	915
63	62	913
64	63	911
65	64	911
66	65	909
67	66	906
68	67	904
69	67	901
70	68	898
71	69	897
72	70	895
73	71	894
74	72	892
75	73	891
76	74	889
77	75	887
78	75	884
79	76	883
80	77	881
81	78	878
82	78	872
83	79	870
84	80	868
85	81	866
86	82	865
87	83	864
88	84	862
89	85	861
90	86	859
91	87	859
92	88	859
93	88	857
94	89	856
95	90	855
96	91	854
97	92	852
98	93	850
99	94	849
100	95	847
101	96	846
102	97	848
103	98	846
104	99	844
105	99	842
106	100	841
107	101	841
108	102	840
109	103	839
110	104	836
111	105	835
112	106	833
113	107	832
114	108	831
115	109	830
116	109	827
117	110	827
118	111	825
119	112	827
120	113	825
121	114	823
122	115	822
123	116	821
124	117	820
125	118	819
126	118	817
127	119	816
128	121	818
129	122	818
130	123	817
131	124	816
132	125	815
133	125	814
134	126	813
135	127	811
136	128	810
137	129	809
138	130	807
139	131	806
140	132	805
141	132	802
142	133	801
143	134	800
144	135	798
145	136	797
146	137	796
147	138	795
148	139	795
149	140	794
150	141	793
151	141	791
152	142	790
153	143	789
154	144	788
155	145	787
156	146	786
157	147	784
158	155	824
159	157	825
160	157	822
161	158	821
162	159	819
163	160	818
164	161	817
165	162	815
166	163	814
167	164	812
168	165	811
169	165	810
170	166	808
171	167	807
172	169	809
173	170	808
174	171	807
175	172	805
176	172	804
177	173	802
178	175	805
179	176	805
180	177	803
181	178	802
182	179	801
183	180	799
184	181	798
185	182	796
186	183	795
187	183	794
188	184	793
189	185	791
190	186	790
191	187	789
192	188	788
193	189	787
194	190	786
195	191	784
196	192	783
197	192	781
198	193	780
199	194	778
200	195	777
201	196	776
202	197	774
203	198	772
204	198	771
205	199	770
206	200	768
207	201	768
208	202	766
209	203	765
210	204	763
211	205	762
212	206	761
213	206	759
214	207	758
215	208	757
216	209	756
217	210	754
218	211	753
219	212	751
220	212	750
221	213	749
222	214	748
223	215	746
224	216	745
225	217	744
226	218	743
227	219	742
228	220	740
229	220	739
230	221	738
231	222	737
232	223	735
233	224	734
234	225	733
235	226	732
236	227	730
237	227	729
238	228	728
239	229	727
240	230	726
241	231	724
242	232	723
243	232	721
244	233	720
245	234	718
246	235	718
